Model,Class_Weight,Fold,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
RF,unbalanced,1,0.9492915734526473,0.8268398268398268,0.977253340915553,0.7549407114624506,0.8802172486508072,0.9651783206964336,0.977253340915553,0.9711782989545069,0.8268398268398268,0.7549407114624506,0.7892561983471075,3437,80,124,382
RF,unbalanced,2,0.9545115585384042,0.8432203389830508,0.9789533560864618,0.7850098619329389,0.8935897804654791,0.9693044212897776,0.9789533560864618,0.9741049950474034,0.8432203389830508,0.7850098619329389,0.8130745658835546,3442,74,109,398
RF,unbalanced,3,0.9482972905791698,0.8057259713701431,0.9729806598407281,0.777120315581854,0.8808305562676237,0.9680249009620826,0.9729806598407281,0.9704964539007093,0.8057259713701431,0.777120315581854,0.7911646586345381,3421,95,113,394
RF,unbalanced,4,0.9565001242853591,0.8624454148471615,0.9820819112627986,0.7790927021696252,0.8969694131489581,0.9685834502103787,0.9820819112627986,0.9752859765569835,0.8624454148471615,0.7790927021696252,0.8186528497409327,3453,63,112,395
RF,unbalanced,5,0.9547488811536549,0.8537117903930131,0.9809442548350398,0.7727272727272727,0.8927485524064046,0.9677328843995511,0.9809442548350398,0.9742937853107345,0.8537117903930131,0.7727272727272727,0.8112033195020747,3449,67,115,391
RF,balanced,1,0.9492915734526473,0.8282608695652174,0.9775376741541086,0.7529644268774703,0.8800031582271819,0.9649172046028628,0.9775376741541086,0.9711864406779661,0.8282608695652174,0.7529644268774703,0.7888198757763976,3438,79,125,381
RF,balanced,2,0.955754412130251,0.8492569002123143,0.979806598407281,0.7889546351084813,0.8964059912298061,0.9698761261261262,0.979806598407281,0.9748160724391625,0.8492569002123143,0.7889546351084813,0.8179959100204499,3445,71,107,400
RF,balanced,3,0.947800149142431,0.8087318087318087,0.9738339021615472,0.7672583826429981,0.8788479607371198,0.9666854884246189,0.9738339021615472,0.9702465287616888,0.8087318087318087,0.7672583826429981,0.7874493927125507,3424,92,118,389
RF,balanced,4,0.9562515535669898,0.8653421633554084,0.982650739476678,0.7731755424063116,0.8959144792548688,0.9677871148459384,0.982650739476678,0.9751622918430708,0.8653421633554084,0.7731755424063116,0.8166666666666667,3455,61,115,392
RF,balanced,5,0.9562406762804575,0.8666666666666667,0.9829351535836177,0.7707509881422925,0.8955344409078458,0.9675251959686451,0.9829351535836177,0.9751693002257337,0.8666666666666667,0.7707509881422925,0.8158995815899581,3456,60,116,390
LR,unbalanced,1,0.9473030077056923,0.8769230769230769,0.9863520045493318,0.6758893280632411,0.8668712537462537,0.9548582438755849,0.9863520045493318,0.9703496503496504,0.8769230769230769,0.6758893280632411,0.7633928571428571,3469,48,164,342
LR,unbalanced,2,0.9465572955505841,0.8989071038251366,0.9894766780432309,0.6489151873767258,0.8618746415898106,0.9513262236806125,0.9894766780432309,0.9700264882197128,0.8989071038251366,0.6489151873767258,0.7537227949599083,3479,37,178,329
LR,unbalanced,3,0.9450658712403679,0.8763157894736842,0.9866325369738339,0.6568047337278107,0.8599876567570593,0.9522371671699149,0.9866325369738339,0.9691297667271965,0.8763157894736842,0.6568047337278107,0.7508455467869222,3469,47,174,333
LR,unbalanced,4,0.9490430027342779,0.9059139784946236,0.9900455062571104,0.6646942800788954,0.8690885557668324,0.9534374144070118,0.9900455062571104,0.9713966792242221,0.9059139784946236,0.6646942800788954,0.7667804323094426,3481,35,170,337
LR,unbalanced,5,0.9462953754351069,0.8940217391304348,0.9889078498293515,0.650197628458498,0.8613674444433805,0.951559934318555,0.9889078498293515,0.9698744769874477,0.8940217391304348,0.650197628458498,0.7528604118993135,3477,39,177,329
LR,balanced,1,0.939845886154611,0.7453531598513011,0.9610463463178845,0.7924901185770751,0.8668188399373578,0.96987087517934,0.9610463463178845,0.9654384461582405,0.7453531598513011,0.7924901185770751,0.7681992337164751,3380,137,105,401
LR,balanced,2,0.9465572955505841,0.7703703703703704,0.9647326507394767,0.8205128205128205,0.8819663554064825,0.9738730979041057,0.9647326507394767,0.9692813259037005,0.7703703703703704,0.8205128205128205,0.7946513849092646,3392,124,91,416
LR,balanced,3,0.9445687298036292,0.7526690391459074,0.9604664391353811,0.834319526627219,0.8797158323090984,0.9757295579312337,0.9604664391353811,0.9680378386125842,0.7526690391459074,0.834319526627219,0.7913938260056127,3377,139,84,423
LR,balanced,4,0.9473030077056923,0.7736549165120594,0.965301478953356,0.8224852071005917,0.883518710734772,0.9741676234213548,0.965301478953356,0.9697142857142858,0.7736549165120594,0.8224852071005917,0.7973231357552581,3394,122,90,417
LR,balanced,5,0.9455494778717056,0.7692307692307693,0.9650170648464164,0.8102766798418972,0.8789785104685983,0.9724849527085124,0.9650170648464164,0.9687366167023554,0.7692307692307693,0.8102766798418972,0.7892204042348412,3393,123,96,410
SVM,unbalanced,1,0.949788714889386,0.8486238532110092,0.9812340062553313,0.7312252964426877,0.8785639740058531,0.9620853080568721,0.9812340062553313,0.9715653153153153,0.8486238532110092,0.7312252964426877,0.7855626326963907,3451,66,136,370
SVM,unbalanced,2,0.9555058414118817,0.8727272727272727,0.9840728100113766,0.757396449704142,0.8928836147929279,0.965671225230254,0.9840728100113766,0.9747851810114101,0.8727272727272727,0.757396449704142,0.8109820485744457,3460,56,123,384
SVM,unbalanced,3,0.9502858563261248,0.8418708240534521,0.979806598407281,0.7455621301775148,0.8812931171843188,0.963905987688864,0.979806598407281,0.9717912552891397,0.8418708240534521,0.7455621301775148,0.7907949790794979,3445,71,129,378
SVM,unbalanced,4,0.9540144171016655,0.8744186046511628,0.984641638225256,0.7416173570019724,0.888269007689833,0.9635402170887838,0.984641638225256,0.9739766493177662,0.8744186046511628,0.7416173570019724,0.8025613660618997,3462,54,131,376
SVM,unbalanced,5,0.9487817006464445,0.8554502369668247,0.982650739476678,0.7134387351778656,0.8745341968560407,0.9597222222222223,0.982650739476678,0.9710511523327712,0.8554502369668247,0.7134387351778656,0.7780172413793104,3455,61,145,361
SVM,balanced,1,0.9381058911260254,0.7495145631067961,0.9633210122263293,0.7628458498023716,0.8603383048508022,0.9657924743443558,0.9633210122263293,0.9645551601423488,0.7495145631067961,0.7628458498023716,0.7561214495592556,3388,129,120,386
SVM,balanced,2,0.9453144419587373,0.7786407766990291,0.9675767918088737,0.7909270216962525,0.876707313811411,0.9697833523375142,0.9675767918088737,0.9686788154897494,0.7786407766990291,0.7909270216962525,0.7847358121330724,3402,114,106,401
SVM,balanced,3,0.9410887397464579,0.7518656716417911,0.9621729237770194,0.7948717948717948,0.869464107219355,0.97017493547462,0.9621729237770194,0.9661573611309439,0.7518656716417911,0.7948717948717948,0.7727708533077661,3383,133,104,403
SVM,balanced,4,0.9448173005219985,0.7766990291262136,0.967292377701934,0.7889546351084813,0.8755864712096965,0.9694982896237172,0.967292377701934,0.9683940774487472,0.7766990291262136,0.7889546351084813,0.7827788649706457,3401,115,107,400
SVM,balanced,5,0.9410740924912978,0.7652859960552268,0.9661547212741752,0.766798418972332,0.8661667979191854,0.9664295874822191,0.9661547212741752,0.9662921348314607,0.7652859960552268,0.766798418972332,0.7660414610069102,3397,119,118,388
