Split,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
1,0.9492915734526473,0.8282608695652174,0.9775376741541086,0.7529644268774703,0.8800031582271819,0.9649172046028628,0.9775376741541086,0.9711864406779661,0.8282608695652174,0.7529644268774703,0.7888198757763976,3438,79,125,381
2,0.955754412130251,0.8492569002123143,0.979806598407281,0.7889546351084813,0.8964059912298061,0.9698761261261262,0.979806598407281,0.9748160724391625,0.8492569002123143,0.7889546351084813,0.8179959100204499,3445,71,107,400
3,0.947800149142431,0.8087318087318087,0.9738339021615472,0.7672583826429981,0.8788479607371198,0.9666854884246189,0.9738339021615472,0.9702465287616888,0.8087318087318087,0.7672583826429981,0.7874493927125507,3424,92,118,389
4,0.9562515535669898,0.8653421633554084,0.982650739476678,0.7731755424063116,0.8959144792548688,0.9677871148459384,0.982650739476678,0.9751622918430708,0.8653421633554084,0.7731755424063116,0.8166666666666667,3455,61,115,392
5,0.9562406762804575,0.8666666666666667,0.9829351535836177,0.7707509881422925,0.8955344409078458,0.9675251959686451,0.9829351535836177,0.9751693002257337,0.8666666666666667,0.7707509881422925,0.8158995815899581,3456,60,116,390
6,0.951777280636341,0.8291139240506329,0.9769690076769975,0.7766798418972332,0.8872926980019293,0.968160045083122,0.9769690076769975,0.9725445796773281,0.8291139240506329,0.7766798418972332,0.8020408163265306,3436,81,113,393
7,0.9542629878200348,0.8414376321353065,0.9786689419795221,0.7850098619329389,0.8931023527440979,0.9692957746478873,0.9786689419795221,0.9739598075290121,0.8414376321353065,0.7850098619329389,0.8122448979591836,3441,75,109,398
8,0.9522744220730798,0.8492239467849224,0.9806598407281001,0.7554240631163708,0.8862472136740859,0.9652855543113102,0.9806598407281001,0.9729119638826185,0.8492239467849224,0.7554240631163708,0.7995824634655533,3448,68,124,383
9,0.9535172756649267,0.8361344537815126,0.9778156996587031,0.7850098619329389,0.8916450103407365,0.9692698054694108,0.9778156996587031,0.9735239983010052,0.8361344537815126,0.7850098619329389,0.8097660223804679,3438,78,109,398
10,0.9522625559423172,0.8383620689655172,0.9786689419795221,0.7687747035573123,0.8874601051039235,0.9671163575042159,0.9786689419795221,0.9728583545377438,0.8383620689655172,0.7687747035573123,0.8020618556701031,3441,75,117,389
11,0.951777280636341,0.8319148936170213,0.9775376741541086,0.7727272727272727,0.886894810675447,0.9676329862088376,0.9775376741541086,0.9725601131541726,0.8319148936170213,0.7727272727272727,0.8012295081967213,3438,79,115,391
12,0.9475515784240617,0.8135593220338984,0.9749715585893061,0.757396449704142,0.8773084354000878,0.965361869895804,0.9749715585893061,0.9701429177868969,0.8135593220338984,0.757396449704142,0.7844739530132788,3428,88,123,384
13,0.9550086999751429,0.8453389830508474,0.9792377701934016,0.7869822485207101,0.8947527336844355,0.9695860321036328,0.9792377701934016,0.974388000566011,0.8453389830508474,0.7869822485207101,0.81511746680286,3443,73,108,399
14,0.9510315684812329,0.8429203539823009,0.979806598407281,0.7514792899408284,0.883390154806205,0.964715765891907,0.979806598407281,0.9722026245237759,0.8429203539823009,0.7514792899408284,0.794577685088634,3445,71,126,381
15,0.953505718547986,0.8459869848156182,0.979806598407281,0.7707509881422925,0.8900973908077772,0.9674248806515023,0.979806598407281,0.973576374169846,0.8459869848156182,0.7707509881422925,0.8066184074457083,3445,71,116,390
