Experiment,Preprocessing,Fold,Features,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
P0_None,none,1,25000,1.8237408339999988,0.04043933300000191,0.947800149142431,0.8217391304347826,0.9766846744384419,0.7470355731225297,0.8764738393515107,0.9640752175133315,0.9766846744384419,0.9703389830508474,0.8217391304347826,0.7470355731225297,0.782608695652174,3435,82,128,378
P0_None,none,2,25000,1.825057833999999,0.03860533300000668,0.9552572706935123,0.8577680525164114,0.9815130830489193,0.7731755424063116,0.8939307296506485,0.9677509814918677,0.9815130830489193,0.9745834510025416,0.8577680525164114,0.7731755424063116,0.8132780082987552,3451,65,115,392
P0_None,none,3,25000,1.7732647499999956,0.027546208000003958,0.9465572955505841,0.809322033898305,0.9744027303754266,0.7534516765285996,0.8749825289621749,0.9647986482680935,0.9744027303754266,0.9695769067496817,0.809322033898305,0.7534516765285996,0.780388151174668,3426,90,125,382
P0_None,none,4,25000,1.8227607910000003,0.027648083999999074,0.9552572706935123,0.8707482993197279,0.9837883959044369,0.757396449704142,0.8923836630749971,0.9656616415410385,0.9837883959044369,0.9746407438715131,0.8707482993197279,0.757396449704142,0.810126582278481,3459,57,123,384
P0_None,none,5,25000,1.8171714170000044,0.03766141600000594,0.9532570860268523,0.8565022421524664,0.981797497155859,0.7549407114624506,0.8880061330792892,0.9653243847874721,0.981797497155859,0.9734912577552172,0.8565022421524664,0.7549407114624506,0.8025210084033614,3452,64,124,382
P1_Stopword_Removal,stopword,1,25000,1.3794486249999949,0.027619166999997447,0.9463087248322147,0.8111587982832618,0.9749786750071083,0.7470355731225297,0.8736217133163697,0.9640146190610065,0.9749786750071083,0.9694656488549618,0.8111587982832618,0.7470355731225297,0.7777777777777778,3429,88,128,378
P1_Stopword_Removal,stopword,2,25000,1.4231373329999997,0.0262568750000014,0.9527715635098185,0.8438177874186551,0.9795221843003413,0.7672583826429981,0.8884376335473204,0.9668725435148793,0.9795221843003413,0.973156258830178,0.8438177874186551,0.7672583826429981,0.8037190082644629,3444,72,118,389
P1_Stopword_Removal,stopword,3,25000,1.4416113749999937,0.027609167000001378,0.9445687298036292,0.7886178861788617,0.9704209328782708,0.7652859960552268,0.8725660526426811,0.9662984990087794,0.9704209328782708,0.9683553285085852,0.7886178861788617,0.7652859960552268,0.7767767767767768,3412,104,119,388
P1_Stopword_Removal,stopword,4,25000,1.3741558749999996,0.026867416000001754,0.956997265722098,0.8630434782608696,0.9820819112627986,0.7830374753451677,0.8983288468609472,0.9691271400505193,0.9820819112627986,0.975561519988699,0.8630434782608696,0.7830374753451677,0.8210961737331954,3453,63,110,397
P1_Stopword_Removal,stopword,5,25000,1.440778832999996,0.02569108400000175,0.9562406762804575,0.8634361233480177,0.9823663253697383,0.7747035573122529,0.8959109730848861,0.9680493273542601,0.9823663253697383,0.9751552795031055,0.8634361233480177,0.7747035573122529,0.8166666666666667,3454,62,114,392
P2_Stemming,stemming,1,25000,1.9510266249999972,0.03995258399999102,0.9495401441710166,0.8230277185501066,0.9764003411998863,0.7628458498023716,0.8815430305799419,0.9662352279122116,0.9764003411998863,0.971291189365012,0.8230277185501066,0.7628458498023716,0.7917948717948718,3434,83,120,386
