Experiment,Preprocessing,Fold,Features,Feature_Fit_Transform_Seconds,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
Baseline_Word_TFIDF,lemmatization,1,10000,1.3322135839999873,0.707129416000015,0.03880812500000275,0.9463087248322147,0.8717948717948718,0.9857833380722206,0.6719367588932806,0.8643593906093906,0.9543077346545554,0.9857833380722206,0.9697902097902098,0.8717948717948718,0.6719367588932806,0.7589285714285714,3467,50,166,340
Baseline_Word_TFIDF,lemmatization,2,10000,1.3277282090000142,0.6952671249999867,0.03844004200001905,0.947800149142431,0.9002695417789758,0.9894766780432309,0.6587771203155819,0.8657615852790432,0.9526286966046003,0.9894766780432309,0.970703125,0.9002695417789758,0.6587771203155819,0.7608200455580866,3479,37,173,334
Baseline_Word_TFIDF,lemmatization,3,10000,1.3278937500000154,0.7320562090000067,0.03859883299998046,0.9460601541138454,0.8661616161616161,0.9849260523321957,0.6765285996055227,0.8646552650342343,0.9547835676867935,0.9849260523321957,0.9696206075878483,0.8661616161616161,0.6765285996055227,0.7596899224806202,3463,53,164,343
Baseline_Word_TFIDF,lemmatization,4,10000,1.3362759170000231,0.7059792910000056,0.03970570800001383,0.9507829977628636,0.8872180451127819,0.9872013651877133,0.6982248520710059,0.8768629306027047,0.9577814569536424,0.9872013651877133,0.9722689075630252,0.8872180451127819,0.6982248520710059,0.7814569536423841,3471,45,153,354
Baseline_Word_TFIDF,lemmatization,5,10000,1.3311198330000025,0.7084600000000023,0.03844170800002189,0.9457981103928393,0.8850267379679144,0.9877701934015927,0.6541501976284585,0.8609213999289376,0.9520285087719298,0.9877701934015927,0.9695700725851479,0.8850267379679144,0.6541501976284585,0.7522727272727273,3473,43,175,331
E1_Character_TFIDF,lemmatization,1,15000,3.078792375000006,1.9379202909999833,0.027726291999982777,0.9485458612975392,0.821505376344086,0.9764003411998863,0.7549407114624506,0.878779881583592,0.9651489600899381,0.9764003411998863,0.9707420494699647,0.821505376344086,0.7549407114624506,0.7868177136972193,3434,83,124,382
E1_Character_TFIDF,lemmatization,2,15000,3.0817412500000216,1.9945077499999968,0.026949166999997942,0.9532687049465572,0.841541755888651,0.9789533560864618,0.7751479289940828,0.8901989045499735,0.967941507311586,0.9789533560864618,0.9734162895927602,0.841541755888651,0.7751479289940828,0.8069815195071869,3442,74,114,393
E1_Character_TFIDF,lemmatization,3,15000,3.1639499169999965,2.0440168749999827,0.037210375000000795,0.9465572955505841,0.8016528925619835,0.9726962457337884,0.7652859960552268,0.8762862931514745,0.9663746821135915,0.9726962457337884,0.969525159461375,0.8016528925619835,0.7652859960552268,0.7830474268415741,3420,96,119,388
E1_Character_TFIDF,lemmatization,4,15000,3.0566100419999884,2.0123720830000025,0.027938874999989594,0.9542629878200348,0.8580931263858093,0.981797497155859,0.7633136094674556,0.8909869131043323,0.9664053751399776,0.981797497155859,0.9740406320541761,0.8580931263858093,0.7633136094674556,0.8079331941544885,3452,64,120,387
E1_Character_TFIDF,lemmatization,5,15000,3.0604339169999832,1.968991458000005,0.026382124999997814,0.9542516161113874,0.8530701754385965,0.9809442548350398,0.7687747035573123,0.8913752237672035,0.967190128996074,0.9809442548350398,0.9740186388025981,0.8530701754385965,0.7687747035573123,0.8087318087318087,3449,67,117,389
