Model,Scaling,Fold,Accuracy,Precision,Specificity,Recall,Macro-F1
RF,S0_No_Scaling,1,0.9482972905791698,0.8311111111111111,0.9783906738697754,0.7391304347826086,0.8765448418716915
RF,S0_No_Scaling,2,0.9535172756649267,0.8493449781659389,0.9803754266211604,0.7672583826429981,0.8899044586220295
RF,S0_No_Scaling,3,0.9495401441710166,0.8220338983050848,0.9761092150170648,0.7652859960552268,0.8819602482759139
RF,S0_No_Scaling,4,0.9552572706935123,0.8690744920993227,0.9835039817974972,0.7593688362919132,0.8925799560909037
RF,S0_No_Scaling,5,0.9540029835902536,0.8606741573033708,0.9823663253697383,0.7569169960474308,0.889692937884139
RF,S1_Scaled_Numerical,1,0.9475515784240617,0.82560706401766,0.9775376741541086,0.7391304347826086,0.8751031607315191
RF,S1_Scaled_Numerical,2,0.9535172756649267,0.8524229074889867,0.9809442548350398,0.7633136094674556,0.8895086202401785
RF,S1_Scaled_Numerical,3,0.9487944320159085,0.8181818181818182,0.9755403868031854,0.7633136094674556,0.880321112311327
RF,S1_Scaled_Numerical,4,0.9545115585384042,0.8681818181818182,0.9835039817974972,0.7534516765285996,0.8904899525536636
RF,S1_Scaled_Numerical,5,0.9572352063649925,0.874439461883408,0.9840728100113766,0.7707509881422925,0.8975375260087115
KNN,S0_No_Scaling,1,0.8729803629132488,0.4778761061946903,0.9832243389252203,0.1067193675889328,0.5528359717948288
KNN,S0_No_Scaling,2,0.8675118071091226,0.375,0.9815130830489193,0.07692307692307693,0.5279858060639013
KNN,S0_No_Scaling,3,0.8677603778274919,0.3893805309734513,0.9803754266211604,0.08678500986193294,0.535147650365325
KNN,S0_No_Scaling,4,0.8719860800397713,0.4642857142857143,0.9829351535836177,0.10256410256410256,0.5493356662902874
KNN,S0_No_Scaling,5,0.8672302337145699,0.3888888888888889,0.9781001137656428,0.09683794466403162,0.5415089796225074
KNN,S1_Scaled_Numerical,1,0.8786974894357444,0.5420560747663551,0.9721353426215524,0.22924901185770752,0.6278050778050778
KNN,S1_Scaled_Numerical,2,0.8717375093214019,0.47619047619047616,0.9718430034129693,0.17751479289940827,0.5942083040112597
KNN,S1_Scaled_Numerical,3,0.8717375093214019,0.47783251231527096,0.9698521046643913,0.1913214990138067,0.6014506888660206
KNN,S1_Scaled_Numerical,4,0.8722346507581407,0.48044692737430167,0.9735494880546075,0.16962524654832348,0.5904459532260109
KNN,S1_Scaled_Numerical,5,0.8707110890104426,0.45930232558139533,0.9735494880546075,0.15612648221343872,0.5812218620673636
