Model,Preprocessing,Fold,Features,Feature_Fit_Transform_Seconds,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1,NonAbusive_Precision,NonAbusive_Recall,NonAbusive_F1,Abusive_Precision,Abusive_Recall,Abusive_F1,TN,FP,FN,TP
SVM,lemmatization,1,25000,3.5123933339999667,53.98603033300003,11.472656749999942,0.9381058911260254,0.7495145631067961,0.9633210122263293,0.7628458498023716,0.8603383048508022,0.9657924743443558,0.9633210122263293,0.9645551601423488,0.7495145631067961,0.7628458498023716,0.7561214495592556,3388,129,120,386
SVM,lemmatization,2,25000,3.533737374999987,52.79860483300001,11.245170250000001,0.9453144419587373,0.7786407766990291,0.9675767918088737,0.7909270216962525,0.876707313811411,0.9697833523375142,0.9675767918088737,0.9686788154897494,0.7786407766990291,0.7909270216962525,0.7847358121330724,3402,114,106,401
SVM,lemmatization,3,25000,3.525860334000072,51.93924933400001,10.922090750000052,0.9410887397464579,0.7518656716417911,0.9621729237770194,0.7948717948717948,0.869464107219355,0.97017493547462,0.9621729237770194,0.9661573611309439,0.7518656716417911,0.7948717948717948,0.7727708533077661,3383,133,104,403
SVM,lemmatization,4,25000,3.401859957999932,53.05586637500005,11.283045583999979,0.9448173005219985,0.7766990291262136,0.967292377701934,0.7889546351084813,0.8755864712096965,0.9694982896237172,0.967292377701934,0.9683940774487472,0.7766990291262136,0.7889546351084813,0.7827788649706457,3401,115,107,400
SVM,lemmatization,5,25000,3.3901017079999747,51.526764999999955,11.051397416999862,0.9410740924912978,0.7652859960552268,0.9661547212741752,0.766798418972332,0.8661667979191854,0.9664295874822191,0.9661547212741752,0.9662921348314607,0.7652859960552268,0.766798418972332,0.7660414610069102,3397,119,118,388
KNN,lemmatization,1,25000,3.3577962910001133,0.0012443749999420106,0.950324916999989,0.8752174993785732,0.7,0.9991470002843332,0.01383399209486166,0.4802325581395349,0.8756541240966857,0.9991470002843332,0.9333333333333333,0.7,0.01383399209486166,0.027131782945736434,3514,3,499,7
KNN,lemmatization,2,25000,3.3828852499998447,0.0015615830000115238,1.2250272499998118,0.8762117822520508,0.7647058823529411,0.9988623435722411,0.02564102564102564,0.491706262139962,0.8766849725411883,0.9988623435722411,0.9337942036692369,0.7647058823529411,0.02564102564102564,0.04961832061068702,3512,4,494,13
KNN,lemmatization,3,25000,3.3585082919998968,0.0013957500000287837,1.0049757080000745,0.8727317921948794,0.3076923076923077,0.9974402730375427,0.007889546351084813,0.47367689445818595,0.8745635910224439,0.9974402730375427,0.9319691735317566,0.3076923076923077,0.007889546351084813,0.015384615384615385,3507,9,503,4
KNN,lemmatization,4,25000,3.3657688750001853,0.0011718339999333693,0.7600561250001192,0.8762117822520508,1.0,1.0,0.01775147928994083,0.4843741313814509,0.8759342301943199,1.0,0.9338645418326693,1.0,0.01775147928994083,0.03488372093023256,3516,0,498,9
KNN,lemmatization,5,25000,3.3630703750000066,0.0012651249999180436,0.8394321660000514,0.8734460467429139,0.42857142857142855,0.9965870307167235,0.017786561264822136,0.4832212071360577,0.875781054736316,0.9965870307167235,0.9322868165491552,0.42857142857142855,0.017786561264822136,0.03415559772296015,3504,12,497,9
LR,lemmatization,1,25000,3.394675417000144,0.17727683299995078,0.000952624999854379,0.939845886154611,0.7453531598513011,0.9610463463178845,0.7924901185770751,0.8668188399373578,0.96987087517934,0.9610463463178845,0.9654384461582405,0.7453531598513011,0.7924901185770751,0.7681992337164751,3380,137,105,401
LR,lemmatization,2,25000,3.4737636660001954,0.18745904100001098,0.0006363329998748668,0.9465572955505841,0.7703703703703704,0.9647326507394767,0.8205128205128205,0.8819663554064825,0.9738730979041057,0.9647326507394767,0.9692813259037005,0.7703703703703704,0.8205128205128205,0.7946513849092646,3392,124,91,416
LR,lemmatization,3,25000,3.4260409590001473,0.19084683400001268,0.0006508750000193686,0.9445687298036292,0.7526690391459074,0.9604664391353811,0.834319526627219,0.8797158323090984,0.9757295579312337,0.9604664391353811,0.9680378386125842,0.7526690391459074,0.834319526627219,0.7913938260056127,3377,139,84,423
