Experiment,Model,Fold,Features,Feature_Fit_Transform_Seconds,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1
Baseline_Word_TFIDF,Random Forest,1,10000,0.402160333,0.8551712089999999,0.032423416999999954,0.9473030077056923,0.8972972972972973,0.9891953369348877,0.6561264822134387,0.8642116123115722
Baseline_Word_TFIDF,Random Forest,2,10000,0.41626191700000037,0.7216318749999999,0.03200658400000034,0.9463087248322147,0.888,0.9880546075085325,0.6568047337278107,0.8624756435237411
Baseline_Word_TFIDF,Random Forest,3,10000,0.4136086250000002,0.711963167,0.03251591599999948,0.941834451901566,0.8527131782945736,0.9837883959044369,0.650887573964497,0.8527684563758389
Baseline_Word_TFIDF,Random Forest,4,10000,0.4002669999999995,0.7005438750000001,0.03238595799999988,0.9445687298036292,0.8901098901098901,0.9886234357224118,0.6390532544378699,0.8564461530460803
Baseline_Word_TFIDF,Random Forest,5,10000,0.3980197919999995,0.6781276250000001,0.04142170899999975,0.9433117851815017,0.8797814207650273,0.987485779294653,0.6363636363636364,0.8533709072488833
E1_Character_TFIDF,Random Forest,1,15000,2.2212482500000004,1.6853415829999996,0.03161029099999979,0.947800149142431,0.8245614035087719,0.977253340915553,0.7430830039525692,0.8760302564650391
E1_Character_TFIDF,Random Forest,2,15000,2.2303745,1.774676542,0.03826420900000116,0.9537658463832961,0.8543046357615894,0.9812286689419796,0.7633136094674556,0.8900005292125317
E1_Character_TFIDF,Random Forest,3,15000,2.3808607910000017,1.8481257500000012,0.03953650000000053,0.9468058662689535,0.8084210526315789,0.9741183162684869,0.757396449704142,0.8758914711696149
E1_Character_TFIDF,Random Forest,4,15000,2.305294791999998,1.7022122499999988,0.03799608399999954,0.9550086999751429,0.8638392857142857,0.982650739476678,0.7633136094674556,0.8924729452052267
E1_Character_TFIDF,Random Forest,5,15000,2.2895594999999993,1.7839300830000013,0.026291875000001852,0.9537543510691199,0.8555555555555555,0.9815130830489193,0.7608695652173914,0.8895988977776099
E2_Hybrid_Word_Character,Random Forest,1,25000,2.695151833999997,1.6185019169999997,0.028046542000002006,0.947800149142431,0.8217391304347826,0.9766846744384419,0.7470355731225297,0.8764738393515107
E2_Hybrid_Word_Character,Random Forest,2,25000,2.9153686249999993,1.6323035830000023,0.02671533299999851,0.9552572706935123,0.8577680525164114,0.9815130830489193,0.7731755424063116,0.8939307296506485
E2_Hybrid_Word_Character,Random Forest,3,25000,2.7042699579999976,1.6030248750000027,0.03951783299999789,0.9465572955505841,0.809322033898305,0.9744027303754266,0.7534516765285996,0.8749825289621749
E2_Hybrid_Word_Character,Random Forest,4,25000,2.6991097089999982,1.576147750000004,0.039597708000002285,0.9552572706935123,0.8707482993197279,0.9837883959044369,0.757396449704142,0.8923836630749971
E2_Hybrid_Word_Character,Random Forest,5,25000,2.6973302090000004,1.6012152079999993,0.027259125000000495,0.9532570860268523,0.8565022421524664,0.981797497155859,0.7549407114624506,0.8880061330792892
E3_Hybrid_Lexical,Random Forest,1,25006,3.2710607909999965,1.6240937080000037,0.03629420800000105,0.9463087248322147,0.8179824561403509,0.9764003411998863,0.7371541501976284,0.8724882637926117
E3_Hybrid_Lexical,Random Forest,2,25006,3.3009215420000046,1.7122870419999998,0.026977332999997827,0.9540144171016655,0.859375,0.9820819112627986,0.7593688362919132,0.8900966567014748
E3_Hybrid_Lexical,Random Forest,3,25006,3.325960416000001,1.6482812080000073,0.027766042000010316,0.9473030077056923,0.8131634819532909,0.9749715585893061,0.7554240631163708,0.8766183715770726
E3_Hybrid_Lexical,Random Forest,4,25006,3.268777499999999,1.5279585409999896,0.027636874999998895,0.955754412130251,0.8764302059496567,0.984641638225256,0.7554240631163708,0.893188657766492
E3_Hybrid_Lexical,Random Forest,5,25006,3.264640333999992,1.5637191659999985,0.027675500000000852,0.9517652909000497,0.8529411764705882,0.9815130830489193,0.7450592885375494,0.8840096518392724
E4_Hybrid_Lexical_Punctuation_Emoji,Random Forest,1,25010,3.252537625000002,1.5229868330000045,0.037458749999998986,0.9473030077056923,0.828125,0.9781063406312198,0.733201581027668,0.873942470389171
E4_Hybrid_Lexical_Punctuation_Emoji,Random Forest,2,25010,3.2350560419999965,1.5239348749999948,0.027834374999997635,0.9537658463832961,0.8527472527472527,0.9809442548350398,0.7652859960552268,0.8901982271547488
E4_Hybrid_Lexical_Punctuation_Emoji,Random Forest,3,25010,3.2740639999999956,1.5404472499999997,0.026340290999996796,0.9463087248322147,0.8102345415778252,0.9746871444823664,0.7495069033530573,0.8740684489994667
E4_Hybrid_Lexical_Punctuation_Emoji,Random Forest,4,25010,3.2332893749999982,1.543501292000002,0.027800124999998843,0.9547601292567736,0.8684807256235828,0.9835039817974972,0.7554240631163708,0.8911879259980526
E4_Hybrid_Lexical_Punctuation_Emoji,Random Forest,5,25010,3.2469851670000054,1.4374518749999936,0.02731358399999806,0.9517652909000497,0.8497757847533632,0.9809442548350398,0.7490118577075099,0.884431860730756
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,Random Forest,1,25011,3.256831625000004,1.5499515409999987,0.038698916000001304,0.947800149142431,0.8217391304347826,0.9766846744384419,0.7470355731225297,0.8764738393515107
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,Random Forest,2,25011,3.2534228749999983,1.4614443330000029,0.038582625000003645,0.9542629878200348,0.8549450549450549,0.9812286689419796,0.7672583826429981,0.8913788913788914
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,Random Forest,3,25011,3.2676596670000038,1.5560394999999971,0.02773145899999463,0.947800149142431,0.8193548387096774,0.9761092150170648,0.7514792899408284,0.8771322212798041
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,Random Forest,4,25011,3.2453807910000023,1.667545208000007,0.03855000000000075,0.9537658463832961,0.8639455782312925,0.9829351535836177,0.7514792899408284,0.8887964518441636
E5_Hybrid_Lexical_Punctuation_Emoji_Lexicon,Random Forest,5,25011,3.277537500000008,1.5310683329999932,0.026371374999996533,0.9532570860268523,0.8597285067873304,0.9823663253697383,0.7509881422924901,0.8875969821947588
E6_Add_Sentiment,Random Forest,1,25015,4.625479208000002,1.5522401669999937,0.026557500000023992,0.9480487198608004,0.8307349665924276,0.9783906738697754,0.7371541501976284,0.8758389256789633
E6_Add_Sentiment,Random Forest,2,25015,4.645689874999988,1.5154822079999803,0.02803900000000681,0.9530201342281879,0.8597285067873304,0.9823663253697383,0.7495069033530573,0.8871060108955342
E6_Add_Sentiment,Random Forest,3,25015,4.652385834,1.4637183750000133,0.02771591699999476,0.9473030077056923,0.8172043010752689,0.9758248009101251,0.7495069033530573,0.8759620519586593
E6_Add_Sentiment,Random Forest,4,25015,4.688105291999989,1.449127040999997,0.026447167000014815,0.9537658463832961,0.8723897911832946,0.9843572241183163,0.7416173570019724,0.8877690292808007
E6_Add_Sentiment,Random Forest,5,25015,4.666653916999991,1.4529625419999945,0.027639999999991005,0.9530084535057185,0.8627002288329519,0.9829351535836177,0.7450592885375494,0.8864799261317129
E7_Full_Feature_Configuration,Random Forest,1,25022,10.832385875,1.5418943749999983,0.0381499579999911,0.945811583395476,0.8257918552036199,0.9781063406312198,0.7213438735177866,0.8696646586130521
E7_Full_Feature_Configuration,Random Forest,2,25022,10.78148383300001,1.4905439590000071,0.026603375000007645,0.9520258513547104,0.8617511520737328,0.9829351535836177,0.73767258382643,0.8838675372673896
E7_Full_Feature_Configuration,Random Forest,3,25022,10.878794458000016,1.4967180409999798,0.027726709000006622,0.9460601541138454,0.8111587982832618,0.9749715585893061,0.7455621301775148,0.8731491831842034
E7_Full_Feature_Configuration,Random Forest,4,25022,10.842222166999989,1.4203504170000087,0.027718167000017502,0.9540144171016655,0.8692660550458715,0.9837883959044369,0.747534516765286,0.88888613521776
E7_Full_Feature_Configuration,Random Forest,5,25022,10.828153499999985,1.4463794170000028,0.027582290999987435,0.9522625559423172,0.8617511520737328,0.9829351535836177,0.7391304347826086,0.8843588269120184
