Experiment,Model,Fold,Features,Training_Seconds,Prediction_Seconds,Accuracy,Precision,Specificity,Recall,Macro-F1
E2_Hybrid_Word_Character,SVM,1,25000,53.63860866600001,11.103590042000008,0.9388516032811335,0.7579365079365079,0.9653113448962184,0.7549407114624506,0.8607362981892277
E2_Hybrid_Word_Character,SVM,2,25000,51.66223475000004,10.964124916999992,0.9433258762117822,0.7751479289940828,0.9675767918088737,0.7751479289940828,0.8713623604014782
E2_Hybrid_Word_Character,SVM,3,25000,54.14284095900001,11.022523334000027,0.9430773054934128,0.7673076923076924,0.9655858930602957,0.7869822485207101,0.8721973588727661
E2_Hybrid_Word_Character,SVM,4,25000,56.89705987499997,11.36534229099999,0.9443201590852598,0.776908023483366,0.9675767918088737,0.7830374753451677,0.874044098654498
E2_Hybrid_Word_Character,SVM,5,25000,89.39671287499999,11.03686987499998,0.9435604177026355,0.7762376237623763,0.9678612059158134,0.7747035573122529,0.8715967103226656
E2_Hybrid_Word_Character,KNN,1,25000,0.001630999999974847,0.9825739169999679,0.8749689286602038,0.8,0.9997156667614444,0.007905138339920948,0.47445021731593073
E2_Hybrid_Word_Character,KNN,2,25000,0.004624250000006214,1.1684730839999702,0.8757146408153119,0.6666666666666666,0.9980091012514221,0.027613412228796843,0.4932616266415149
E2_Hybrid_Word_Character,KNN,3,25000,0.0015145840000059252,0.7650604579999936,0.8727317921948794,0.2222222222222222,0.9980091012514221,0.0039447731755424065,0.46987862503474476
E2_Hybrid_Word_Character,KNN,4,25000,0.0013011659999619951,0.9183848330000046,0.8752174993785732,1.0,1.0,0.009861932938856016,0.47644998921555615
E2_Hybrid_Word_Character,KNN,5,25000,0.001303167000060057,0.810614874999942,0.8729487817006465,0.38095238095238093,0.9963026166097838,0.015810276679841896,0.4811906421346277
E2_Hybrid_Word_Character,LR,1,25000,0.1830416249999871,0.000681459000020368,0.9410887397464579,0.750465549348231,0.9618993460335513,0.7964426877470355,0.869464107219355
E2_Hybrid_Word_Character,LR,2,25000,0.31432170799996584,0.0006345420000570812,0.9453144419587373,0.7672253258845437,0.964448236632537,0.8126232741617357,0.8789262181248707
E2_Hybrid_Word_Character,LR,3,25000,0.1487176670000281,0.000744709000059629,0.9438230176485211,0.7531531531531531,0.9610352673492605,0.8244575936883629,0.8774171471838779
E2_Hybrid_Word_Character,LR,4,25000,0.17578716699995312,0.0006606670000337544,0.9460601541138454,0.7655677655677655,0.9635949943117179,0.8244575936883629,0.8814455481122148
E2_Hybrid_Word_Character,LR,5,25000,0.22643062500003452,0.0006441670000185695,0.9455494778717056,0.7692307692307693,0.9650170648464164,0.8102766798418972,0.8789785104685983
E2_Hybrid_Word_Character,NB,1,25000,0.004681084000026203,0.0020104579999724592,0.9286602038279891,0.7859007832898173,0.9766846744384419,0.5948616600790514,0.8185323767601567
E2_Hybrid_Word_Character,NB,2,25000,0.0036877090000189128,0.0020814590000099997,0.9286602038279891,0.7894736842105263,0.9772468714448237,0.591715976331361,0.8181740157885793
E2_Hybrid_Word_Character,NB,3,25000,0.0038927919999878213,0.0020497089999480522,0.931891623166791,0.7979539641943734,0.9775312855517634,0.6153846153846154,0.8282725524482061
E2_Hybrid_Word_Character,NB,4,25000,0.0038778329999331618,0.0020672090000743992,0.9336316181953765,0.8092783505154639,0.9789533560864618,0.6193293885601578,0.8321692711649502
E2_Hybrid_Word_Character,NB,5,25000,0.0037573330000668648,0.0020020000000613436,0.9286424664346097,0.8,0.9792377701934016,0.5770750988142292,0.8152412662422213
E2_Hybrid_Word_Character,GB,1,25000,72.03326095900002,0.03685583300000417,0.9323887646035297,0.8162162162162162,0.9806653397782201,0.5968379446640316,0.8257809365506964
E2_Hybrid_Word_Character,GB,2,25000,71.89864275000002,0.038006458000040766,0.9351230425055929,0.8271276595744681,0.9815130830489193,0.6134122287968442,0.8339897570391699
E2_Hybrid_Word_Character,GB,3,25000,72.13765891700007,0.03399308400003065,0.9301516281382053,0.803763440860215,0.9792377701934016,0.5897435897435898,0.8205555325389263
E2_Hybrid_Word_Character,GB,4,25000,72.00227100000006,0.03464829099993949,0.9393487447178722,0.8563685636856369,0.9849260523321957,0.6232741617357002,0.8437152519057718
E2_Hybrid_Word_Character,GB,5,25000,72.02035608300002,0.035750000000007276,0.9358528095474888,0.8563218390804598,0.9857792946530148,0.5889328063241107,0.8310045502959158
E2_Hybrid_Word_Character,RF,1,25000,1.646968083000047,0.027535791000104837,0.947800149142431,0.8217391304347826,0.9766846744384419,0.7470355731225297,0.8764738393515107
E2_Hybrid_Word_Character,RF,2,25000,1.6731361669999387,0.027886833999900773,0.9552572706935123,0.8577680525164114,0.9815130830489193,0.7731755424063116,0.8939307296506485
E2_Hybrid_Word_Character,RF,3,25000,1.6075451250000015,0.026548916000024292,0.9465572955505841,0.809322033898305,0.9744027303754266,0.7534516765285996,0.8749825289621749
E2_Hybrid_Word_Character,RF,4,25000,1.5579069579998759,0.02756412500002625,0.9552572706935123,0.8707482993197279,0.9837883959044369,0.757396449704142,0.8923836630749971
E2_Hybrid_Word_Character,RF,5,25000,1.48300949999998,0.03844695900011175,0.9532570860268523,0.8565022421524664,0.981797497155859,0.7549407114624506,0.8880061330792892
